,Now,Title,View,Coment,Like,Subscriber
35,2020/04/22 02:26:54,[eng] 날이 좋아서.. 바쁜 카페브이로그/ 더벤티알바/ 자몽음료/ 딸기음료/ 음료제조영상/ 얼음ASMR/ cafevlog,2527,41.0,136.0,
36,2020/04/22 02:27:05,[임고생 브이로그📝] - 고독한 독서실 1인실🥺 | 돌체라떼 만들기☕️ | bhc 커리퀸🍗 | 고양이 박스대첩📦 (Study Vlog),269,12.0,8.0,266.0
37,2020/04/22 02:27:15,호주일상⎜부부의세계 라이브로 해부럿당께요 [브이로그],368,15.0,46.0,10000.0
38,2020/04/22 02:27:28,임고생 브이로그 | study vlog | 잔잔한 독서실 브이로그 | 반짝이는 별 가져오기⭐️ | 아이패드로 공부하기,161,5.0,14.0,1000.0
39,2020/04/22 02:27:40,편식하는개린이ㅣ육멍브이로그ㅣ땡큐의여름일상,976,40.0,216.0,10000.0
40,2020/04/22 02:27:53,🌼 서산•당진 여행 브이로그 | 사람 피해 다니는 봄맞이 꽃놀이 국내여행 🌿,141,9.0,11.0,295.0
41,2020/04/22 02:28:03,[독박 육아 브이로그 20] 생일 / 백종원 감자짜글이 찌개 / 가족 / 키즈카페 / 틈새 요리 / 남아 헤어스타일 / 가평 맛집 / 현실 육아 / 로이애유 / royuyu,3401,52.0,179.0,4000.0
42,2020/04/22 02:28:14,"[뉴욕 브이로그] 코로나 지긋지긋해서 올리는 멀쩡했던 2월의 디자이너 일상, 셀프네일 하며 수다타임",227,13.0,18.0,877.0
43,2020/04/22 02:28:25,나의 브이로그,5392,181.0,674.0,130000.0
44,2020/04/22 02:28:36,"Eng) 요거프레소 카페 브이로그💛 (달고나 버블라떼 신메뉴, 카페 브이로그, cafe vlog)",17349,71.0,1000.0,
45,2020/04/22 02:28:48,일본 감성 캠핑 브이로그 🏕 후지산 야마나시 | 설중캠핑 | 캠핑요리 | 번외편 첫캠핑은 룬룬쓰 추억소환,1967,39.0,180.0,4000.0
46,2020/04/22 02:28:59,VLOG 아줌마브이로그 살벌한 외출준비일상~ morning routine^^,2788,9.0,18.0,6000.0
47,2020/04/22 02:29:13,해리 차 산 날?!? (웃소 브이로그),3021,186.0,410.0,120000.0
48,2020/04/22 02:29:24,[공시생 브이로그 #112] 200420 바다가 보이는 카페에서 카공/신전떡볶이/킴일미 갱생프로젝트1 : 빨리 일어나기(만 함)/반면교사의 예: 킴일미,2424,30.0,68.0,4000.0
49,2020/04/22 02:29:37,🇫🇷프랑스 유학생🇫🇷EP32) 지연쓰 프랑스 파리 일상브이로그 '파리에서 김장을 하다?!' (자취생들 필독),416,11.0,59.0,3000.0
50,2020/04/22 02:29:46,[VLOG] 초등학교 온라인개학 브이로그,308,,9.0,108.0
51,2020/04/22 02:29:57,제페토 쇼핑물 VLOG 🛍 / ZEPETO / 브이로그 / 월드 / 쇼핑,207,17.0,,1000.0
52,2020/04/22 02:30:08,30대직장인 브이로그/조심히 올려보는 기록들/프라다 테수토 체인 스트랩/첫 명품 가방 언박싱/데이지/daysivlog/daysi,74,5.0,3.0,740.0
53,2020/04/22 02:30:21,간헐적 단식 하는 30대 일상 브이로그 #2,86,0.0,10.0,1000.0
54,2020/04/22 02:30:33,종훈이의 일상브이로그* 여러분들드디어 머리를했습니다,1106,17.0,43.0,10000.0
55,2020/04/22 02:30:43,"[겁바일상] 집순이 브이로그_월남쌈 먹고, 무서운 이야기 하고, 청바지 줄이고, 볶음면 만드는 행복한 하루",41,4.0,,4000.0
56,2020/04/22 02:30:56,,183,7.0,13.0,469.0
57,2020/04/22 02:31:07,"40대 다이어트 브이로그 | 운동은 장비빨, 룰루레몬 지름 *홈요가 시작 *곤약마라탕 *새 운동화 지름(ft.아디다스) *튼튼이 첫 뒤집기",287,5.0,41.0,10000.0
58,2020/04/22 02:31:18,[먹방vlog]음주 브이로그 | 다이어트 전 마지막 치팅 | 엽떡 계란죽 신드롬 75% 치킨팝 투게더 설중매 소주,1937,68.0,50.0,955.0
59,2020/04/22 02:31:29,前)카페사장 現)백수 - 카페알바 브이로그,5264,54.0,435.0,30000.0
60,2020/04/22 02:31:40,"외식과 쇼핑이 사라진, 캐나다 주말 일상 (ft. 집콕 브이로그)",371,35.0,53.0,8000.0
61,2020/04/22 02:31:54,감정이 폭발한 날. 뱃속의 둘째에게 남기는 메세지,70969,312.0,3000.0,110000.0
62,2020/04/22 02:32:05,"[ENG] 이시국 유럽 일상 브이로그 | 팬케익, 인터넷 마트 배송 도전, 대청소, 아보카도 덮밥 그리고 무비나잇",187,21.0,28.0,5000.0
63,2020/04/22 02:32:17,"브이로그, 일상의 동기부여/본바디TV 1주년, 개인적인 이야기",109,3.0,8.0,6000.0
64,2020/04/22 02:32:27,남편한테 마스크 쓰랬더니...🇺🇸쿠씨네 미국일상 브이로그 🎥핏불테리어 쿠씨와 산책다녀와서 오랜만에 술쇼핑?,323,28.0,33.0,1000.0
65,2020/04/22 02:32:37,Eng)Cafe VLOG|카페브이로그|음료제조영상|ASMR|컴포즈커피|카페알바,342,0.0,8.0,19.0
66,2020/04/22 02:32:49,Our first V.log (special announcement) 첫 브이로그(중대발표 합니다),232,33.0,47.0,40000.0
67,2020/04/22 02:32:59,"[의대생 브이로그] 운동하는 의대생의 실습부터 주말까지, 슬기로운 의대생은 운동, 공부(마음만은...) 모두 열심히 합니다!! l 의대, 편입생, 의대 편입, [편입왕]",209,1.0,12.0,1000.0
68,2020/04/22 02:33:10,초등학생 브이로그 vlog #2,23,0.0,3.0,14.0
69,2020/04/22 02:33:21,17살 자퇴생 브이로그 🐰 | 여유 로운 자퇴생 |방콕 브이로그🌱 |학생 VOLG |자퇴생 VOLG,195,12.0,,1000.0
70,2020/04/22 02:33:32,공부/일상 브이로그 (시끄럽다 조용했다 차이 심함),176,18.0,21.0,1000.0
71,2020/04/22 02:33:45,[브이로그Vlog] 🌼봄나들이 | 맥북을 사러가자 | 신세계백화점 쇼핑하러가기 | 일렉트로마트 | 맥북프로 16인치 | 벚꽃구경🌸,161,8.0,17.0,6000.0
72,2020/04/22 02:33:55,"[먹방브이로그]불닭비빔면+유부초밥Mukbang/몰티져스아이스크림 (ft.불닭비빔면, 유부초밥, 몰티져스,명랑핫도그 맵구마,산본슈가링마카롱, gs25쟈댕커피,제육볶음,갤럭시노트10)",114,4.0,8.0,
73,2020/04/22 02:34:07,사회적 거리두기 어린이날까지 연기!! 완화된 사회적 거리두기??,45931,359.0,3000.0,770000.0
74,2020/04/22 02:34:18,운동전 부스터제조 몬스터에너지 하체운동과 식사 브이로그,373,7.0,24.0,10000.0
75,2020/04/22 02:34:29,[KOR/ENG] 민카롱의 하루🤍쇼핑몰 촬영 브이로그📸 ㅣMINCARONG,1760,19.0,116.0,30000.0
76,2020/04/22 02:34:44,[휘림 일상] 암 병원 단체사진 촬영 현장 브이로그,195,7.0,14.0,1000.0
77,2020/04/22 02:34:55,ENG)cafe vlog| 카페 브이로그| 카페 봄봄🌼|카페 알바 브이로그| 음료 제조 영상,890,16.0,127.0,2000.0
78,2020/04/22 02:35:05,"[미국일상]쉬는날 24시간 밀착 브이로그(한국에서 온 택배,책읽기, 릴리와 공놀이, 닭가슴살구이 요리)",2367,36.0,101.0,10000.0
79,2020/04/22 02:35:17,"대만 유학생 브이로그🇹🇼나태한,, 게으른,,, 브이로그,,,",189,8.0,15.0,2000.0
80,2020/04/22 02:35:29,[VLOG] 에어팟Pro 언박싱 브이로그 / 말 그대로 박스 열어보는 영상,116,22.0,15.0,772.0
