View,Coment,Like,Subscriber
783,31.0,80.0,10000.0
418,24.0,46.0,10000.0
186,10.0,10.0,2000.0
144,4.0,17.0,358.0
127,3.0,27.0,1000.0
134,9.0,10.0,190.0
952,20.0,89.0,20000.0
221,3.0,20.0,421.0
467,14.0,26.0,282.0
208,26.0,51.0,1000.0
360,5.0,47.0,60000.0
2736,291.0,296.0,70000.0
84,5.0,4.0,65.0
1351,41.0,142.0,50000.0
69,15.0,14.0,1000.0
255,4.0,17.0,799.0
248,55.0,22.0,1000.0
117,1.0,8.0,139.0
33,3.0,5.0,22.0
41,11.0,6.0,444.0
201,3.0,11.0,135.0
98,25.0,28.0,337.0
57,3.0,5.0,73.0
114,19.0,18.0,239.0
21072,93.0,738.0,60000.0
31,2.0,1.0,22.0
135,7.0,15.0,270.0
499,8.0,33.0,1000.0
21,4.0,4.0,128.0
141,7.0,16.0,125.0
58,2.0,6.0,268.0
300,9.0,10.0,89.0
45,5.0,14.0,261.0
78,6.0,12.0,64.0
31,5.0,5.0,168.0
115,9.0,10.0,232.0
116,5.0,7.0,2000.0
18,0.0,5.0,21.0
20,1.0,6.0,26.0
72,3.0,9.0,969.0
61,21.0,10.0,61.0
118,7.0,15.0,141.0
42669,351.0,1000.0,40000.0
35,2.0,6.0,32.0
107,12.0,19.0,165.0
47,7.0,7.0,523.0
9,4.0,1.0,66.0
28,0.0,3.0,25.0
41,7.0,11.0,25.0
21,3.0,1.0,25.0
52,6.0,3.0,30.0
5619,87.0,702.0,20000.0
42,2.0,7.0,34.0
137,0.0,10.0,36.0
1830,32.0,114.0,30000.0
592,38.0,118.0,7000.0
191,29.0,29.0,1000.0
82,12.0,10.0,25.0
29,4.0,7.0,62.0
24,3.0,6.0,37.0
26416,149.0,849.0,10000.0
33,7.0,5.0,57.0
29,4.0,1.0,12.0
14,0.0,5.0,14.0
5069,98.0,1000.0,30000.0
89,3.0,6.0,1000.0
24,0.0,3.0,162.0
53,4.0,7.0,17.0
13,4.0,3.0,11.0
137,0.0,6.0,330.0
55,5.0,10.0,70.0
87,0.0,4.0,2000.0
226,24.0,35.0,564.0
390,26.0,22.0,1000.0
68,8.0,7.0,71.0
108,13.0,12.0,63.0
113,4.0,5.0,1000.0
29,2.0,2.0,40.0
35,0.0,3.0,1000.0
22,1.0,4.0,21.0
57,8.0,10.0,47.0
255,30.0,15.0,145.0
131,4.0,8.0,2000.0
177,4.0,8.0,33.0
26,2.0,8.0,54.0
137,14.0,20.0,61.0
5,0.0,1.0,27.0
63,5.0,12.0,6000.0
644,15.0,28.0,1000.0
93,10.0,23.0,8000.0
163,3.0,6.0,664.0
70,8.0,5.0,14.0
40,1.0,10.0,47.0
41,0.0,4.0,15.0
21,2.0,3.0,24.0
39,2.0,4.0,22.0
52,7.0,2.0,30.0
29,2.0,7.0,19.0
61,1.0,5.0,36.0
32,0.0,0.0,131.0
58,15.0,12.0,1000.0
157,1.0,4.0,330.0
104,46.0,41.0,1000.0
52,0.0,1.0,254.0
35,3.0,6.0,30.0
6370,99.0,635.0,60000.0
8741,347.0,1000.0,20000.0
11149,94.0,486.0,10000.0
20438,171.0,895.0,690000.0
176,11.0,12.0,617.0
212,12.0,11.0,226.0
594,15.0,65.0,10000.0
58,2.0,8.0,672.0
21573,97.0,436.0,50000.0
39537,203.0,1000.0,50000.0
2514,62.0,255.0,20000.0
41715,145.0,1000.0,420000.0
3000,74.0,136.0,3000.0
4026,65.0,163.0,30000.0
1308,36.0,72.0,2000.0
10883,45.0,269.0,50000.0
161,5.0,10.0,1000.0
108,4.0,20.0,2000.0
1648,46.0,206.0,40000.0
1378,19.0,79.0,2000.0
498,12.0,38.0,10000.0
935,43.0,113.0,6000.0
114,5.0,15.0,98.0
5529,30.0,284.0,2000.0
1197,0.0,9.0,1000.0
233,11.0,16.0,337.0
59,3.0,9.0,981.0
14034,59.0,704.0,10000.0
1163,18.0,59.0,1000.0
388,13.0,15.0,2000.0
822,29.0,33.0,3000.0
201,11.0,28.0,566.0
180,8.0,16.0,2000.0
8766,60.0,305.0,70000.0
12018,49.0,136.0,30000.0
1424,27.0,41.0,2000.0
90,2.0,8.0,188.0
267,38.0,77.0,415.0
64,10.0,7.0,56.0
38,5.0,6.0,1000.0
62,1.0,4.0,293.0
223,48.0,31.0,313.0
66,1.0,2.0,429.0
257,8.0,12.0,509.0
210,3.0,29.0,220.0
165,6.0,11.0,550.0
922,19.0,82.0,20000.0
166,31.0,14.0,227.0
157,8.0,10.0,173.0
115,10.0,9.0,236.0
76,13.0,19.0,107.0
1678,27.0,46.0,2000.0
96,0.0,5.0,179.0
157,23.0,18.0,609.0
42,3.0,7.0,123.0
1846,23.0,139.0,10000.0
447,20.0,37.0,1000.0
