,Now,Title,View,Coment,Like,Subscriber
36,2020/05/17 01:06:55,[ENG]공부브이로그#19/Study vlog/CPA/회린이/회시생/고시생/휴학생/공부자극/Study with me/순두부찌개,161,0,13.0,
37,2020/05/17 01:07:15,VLOG | 어텀트리 일상 브이로그 | 토끼 모양 쿠키 만들고 학교 다니는 일상,53,0,10.0,482.0
38,2020/05/17 01:07:36,"[이탈리아 브이로그] 이동제한령 2단계, 한 발자국 더 밖으로.",28,6,7.0,101.0
39,2020/05/17 01:07:57,[공시생 브이로그 #12] 🇰🇷군무원 준비생🇰🇷/ study vlog📖/ 공시생 vlog📚/ 군시생의 하루/ 집공부 공시생🖋/버거킹신메뉴먹방🍔,218,2,3.0,236.0
40,2020/05/17 01:08:18,미용학원 브이로그💇🏻‍♀️ 드라이 배운날 | 필기시험 D-3일,112,51,25.0,158.0
41,2020/05/17 01:08:38,[VLOG #02] 대학생의 하루 일상 브이로그 (동덕여대 / 사회봉사 / 성수 카페 / 짧은 드라이브 / 치맥 ),108,14,12.0,38.0
42,2020/05/17 01:08:57,안먹어도 안빠지는 30대 다이어트 브이로그/포기하지않을꺼야/pilates/다이어트식단,15,0,4.0,20.0
43,2020/05/17 01:09:17,채널 소개 영상 - 유지의 음악 브이로그 는 뭐하는 채널인가요?,6,0,1.0,4.0
44,2020/05/17 01:09:37,(eng) VLOGㅣ소소한 짧은 일상 브이로그ㅣ직장인의 일주일 브이로그ㅣ매일 카페가기ㅣ개인 작업 하기ㅣ떡볶이 만들어 먹기,47,0,5.0,
45,2020/05/17 01:10:05,TAE방 브이로그#3 - 건대맛집탐방/탁구치기,8,0,1.0,3.0
46,2020/05/17 01:10:24,"[vlog#16]플로리스트 준비하는 22살 일상브이로그/꽃다발,꽃바구니 연습/고속터미널 꽃시장/플로리스트",73,2,1.0,120.0
47,2020/05/17 01:10:44,[햅삐커플]오디오 터진날ㅠ/일상/커플/데이트/브이로그/세차/카페/맛집,71,2,2.0,71.0
48,2020/05/17 01:11:04,VLOG #28 | 어버이날 • 시골 텃밭 가꾸기 대실패 일상 브이로그 | Nago,26,4,4.0,83.0
49,2020/05/17 01:11:26,vlog/daily/일상 브이로그/그냥로그/blog #3,8,0,2.0,4.0
50,2020/05/17 01:11:46,"[스페인 시골 브이로그]비오는 시골 아침,내 고양이는 하루종일 먹고 자고 놀고,우리 부부도 함께 개을러지는 하루[흥주부]",18,1,4.0,139.0
51,2020/05/17 01:12:06,[육아브이로그] 춤바람난 아가씨들 | 이 자매들의 아침은?? 또다른 2019년11월 이야기,36,1,8.0,13.0
52,2020/05/17 01:12:25,VLOG56☃️ㅣ아직 눈내리는 브이로그..ㅣ누나결혼식축가 🎤ㅣ삼뚱신년회🎈ㅣ직장연수끝🎓,44,4,8.0,
53,2020/05/17 01:12:48,유기견 푸들 🐩가을이의 일상영상|유기견|일상 브이로그,16,5,4.0,39.0
54,2020/05/17 01:13:10,"대전 은행동,중구청 실시간 브이로그(2020년5월16일18시) / 중구청 성심당 으늠정이거리 / korean street food",143,3,6.0,5000.0
55,2020/05/17 01:13:31,lg벨벳 브이로그 최적화 휴대폰!?,105,7,15.0,497.0
56,2020/05/17 01:14:08,,28,2,,66.0
57,2020/05/17 01:14:30,5월 16일 야구 토론 & 최종 결정,1615,1,189.0,10000.0
58,2020/05/17 01:14:52,출퇴근만 했는데 벌써 열흘이 지났더라고요 | 자취브이로그 (나는야 도시여자),66,4,8.0,155.0
