,Now,Title,View,Coment,Like,Subscriber
48,2020-04-26 16:47,"게임에 중독된 ""귀오미""의 미친 손놀림ㅋㅋㅋㅋㅋ [모여봐요 동물의숲 8화]",5908,51,167,40000
49,2020-04-26 16:47,『마인크래프트』게임중독..이해 하면 무서운 이야기 13탄 (잉여맨 상황극),83989,819,6100,751000
50,2020-04-26 16:47,아잇! 난 몰라!! 밸런스 게임으로 상상의 나래를 펼치다🤭,45340,150,532,62100
51,2020-04-26 16:47,모여봐요 동물의 숲] 파워풀한 액션 게임 12일차 48화 - 산갈치 또 잡음 데헷!,45,4,5,36700
52,2020-04-26 16:48,[5월모바일게임] 4월마지막 5월 첫주의 게임소식!!ㅋㅋ 추천 모바일게임 엉아,2750,73,126,18600
53,2020-04-26 16:48,"오랜만에 돌아온 그마 게임, 탈론으로『 캐리 』했습니다",15205,84,234,83200
54,2020-04-26 16:48,[섀도우아레나] 이 회사와 이 게임을 응원합니다,8926,14,53,39900
55,2020-04-26 16:49,요즘 광고 오지게 하는 공주 구하는 용사게임ㅋㅋㅋ 광고랑 똑같을까?,45036,126,1400,203000
56,2020-04-26 16:49,"LCK FINAL GEN.G VS T1  3경기 벤픽,게임 리뷰[3경기마저 벤픽이 애매했던 GEN.G .. ]",3758,36,38,105000
57,2020-04-26 16:49,T1 vs GEN - Game 2 | Grand Finals Playoffs S10 LCK Spring 2020 | T1 vs Gen.G G2,75514,100,667,478000
58,2020-04-26 16:49,엘소드하다가 다른 게임,843,0,14,2520
59,2020-04-26 16:50,"""이런 게임은 처음이야.."" 판타지 배틀로얄 실화냐?",4403,18,52,235000
60,2020-04-26 16:50,T1 vs Gen.G Game 1 Full - LCK Spring 2020 Playoffs GRAND FINAL - T1 vs GEN G1,63015,60,619,231000
61,2020-04-26 16:50,1000 IQ Hiding Spot In Big Game! Brawl Stars Funny Moments & Fails & Win #149,163008,720,7600,61400
62,2020-04-26 16:50,[왕쥬] '당연하지' 게임을 했는데... 수위 미쳤네 이 사람들ㄷㄷㄷ,17545,82,609,460000
63,2020-04-26 16:50,리니지2m [이문주] 마피아게임 (똘건이는 바보에요),17120,41,243,85800
64,2020-04-26 16:50,도전 선율! 극한의 밸런스 게임! Korean Gay : Challenge MELODY! extreme balance game!,3704,55,125,11400
65,2020-04-26 16:51,ZED99 - 정복자 제드 풀영상 (conq ZED FULL GAME at CHALLENGER!),8154,30,160,23200
